ID,Name,Link,Provider,Service,Type1,Type2,Type3,Type3,Type4,Target Recipient ,Qualification1,Qualification2,Qualification3,Qualification4,Service Location,Image
1,SNAP,https://georgia.gov/apply-snap,Federal Gov,Food ,,,,,,All,,,,,Georgia,https://georgia.gov/themes/custom/ga_forest/orchard/assets/images/icons/logo/ga-logo--gold.svg
2,Senior SNAP,https://dfcs.georgia.gov/food-stamps/senior-snap,Federal Gov,Food ,,,,,,,,,,,Georgia,https://dfcs.georgia.gov/themes/custom/ga_forest/orchard/assets/images/icons/logo/ga-logo--gold.svg
3,The Georgia Rental Assistance Program,https://georgiarentalassistance.ga.gov/,State Gov,Covid Relief ,Housing,,,,,All,,,,,Georgia,https://georgiarentalassistance.ga.gov/images/logo.png
4,NOW/COMP,https://georgia.gov/apply-new-option-waiver-program-now-and-comprehensive-support-waiver-program-comp,State Gov,Health Waiver,Disability,,,,,All,,,,,Georgia,https://georgia.gov/themes/custom/ga_forest/orchard/assets/images/icons/logo/ga-logo--gold.svg
5,Operation Hope,https://operationhope.org/our-locations/#georgia,501(c)(3),Workshops/Counseling,Financial Literacy,Homeownership,Entrepreneurship,Job Skills,,All,,,,,Georgia,https://operationhope.org/wp-content/uploads/2020/02/OH-Logo-Red-Blue.png
6,Springboard,https://moneythink.org/our-work/coaching/,501(c)(3),Job Securing,Education,Job Skills,Remote Work,,,,No prior qualifications,,,,Online,https://moneythink.org/wp-content/themes/ngd_moneythink/img/logo_moneythinks_light.svg
7,Kahn Academy Personal Finance,https://www.khanacademy.org/college-careers-more/personal-finance,501(c)(3),Personal Finance Lessons,Housing,Saving,Taxes,Budgeting ,College,All,No prior qualifications,,,,Online,https://i.pcmag.com/imagery/reviews/07AxdIVbQ63OEkJoPgCybXt-19..1594914797.png
8,Low Income Home Energy Assistance Program (LIHEAP),https://dfcs.georgia.gov/services/low-income-home-energy-assistance-program-liheap,Federal Gov,Utilities,Low-income,,,,,All,,,,,Georgia,https://dfcs.georgia.gov/themes/custom/ga_forest/orchard/assets/images/icons/logo/ga-logo--gold.svg
9,Opportunity Tax Credit (AOTC),https://www.benefits.gov/benefit/5938,Federal Gov,Tax Credit,Education Seeking,Student,,,,,https://www.benefits.gov/benefit/5938,https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit/eligible-educational-inst,,,Georgia,https://www.benefits.gov/static/media/bg_logo_400px.cdfabd8d.png
10,Urban Recipe,https://urbanrecipe.org/,Nonprofit,Food,Economic Development,,,,,All,None,,,,Georgia,https://149351662.v2.pressablecdn.com/wp-content/uploads/2017/03/urbanrecipe-invertlogo.png
11,HOPE,www.hopbe.org,Nonprofit,Adult Education Assistance/ Financial Literacy,Low-income,Job Skills ,Saving,Budgeting,College,Low-income parents,Single parent,25-40 yo,enrolled in 2-4 year college,low-income,Georgia,https://www.hopbe.org/wp-content/uploads/2021/04/hope-logo-highres-white.png
12,IRS Free File Online,https://apps.irs.gov/app/freeFile/browse-all-offers,Federal Gov,Tax Software,,,,,,Tax Payers,"Gross Income ≤$72,000",,,,USA,https://www.irs.gov/pub/image/logo_small.jpg
13,Kiva,https://www.kiva.org/,,Crowdsourced Microloans,,,,,,,,,,,Global,http://www-kiva-org.global.ssl.fastly.net/cms/kiva_logo_2.png
14,Chime,https://www.chime.com/,,Second chance Banking,,,,,,,,,,,USA,https://www.chime.com/wp-content/uploads/2020/09/OG-03-1.png
